id;created_at;updated_at;name;score;image_url;is_active
1;2020-09-18T12:20:52;2020-09-18T06:47:33;Incredible Steel Ball Italy;30453;Concrete Metal Cordoba Oro;false
2;2020-09-18T10:08:12;2020-09-18T04:33:48;Inlet;55395;Handcrafted Steel Chicken neural;false
3;2020-09-18T13:52:38;2020-09-18T01:50:06;Synergistic application;43216;syndicate Belize Licensed;false
4;2020-09-17T21:29:46;2020-09-17T22:11:24;capacitor;51658;artificial intelligence USB synergize;false
5;2020-09-18T02:30:06;2020-09-18T06:01:28;California copying;45751;transition Money Market Account payment;true
6;2020-09-18T17:07:55;2020-09-18T10:44:45;Progressive system;81942;demand-driven Stand-alone;true
7;2020-09-17T18:40:15;2020-09-17T23:45:01;complexity;56038;Kenyan Shilling Ameliorated;true
8;2020-09-18T01:11:42;2020-09-18T17:02:37;payment tan De-engineered;63785;Cambridgeshire networks Chief;false
9;2020-09-18T09:32:53;2020-09-18T09:42:03;Manager;85555;driver;false
10;2020-09-18T02:24:01;2020-09-18T02:59:07;transmitting recontextualize Granite;60784;haptic;true
