id;created_at;updated_at;chatpi_chat_id
1;2020-09-18T01:15:34;2020-09-17T18:14:22;withdrawal
2;2020-09-17T18:38:58;2020-09-17T23:14:45;Cotton Berkshire
3;2020-09-17T18:00:21;2020-09-18T13:40:24;Kentucky generate
4;2020-09-18T09:12:46;2020-09-18T11:59:23;invoice
5;2020-09-17T20:17:34;2020-09-18T06:13:33;complexity
6;2020-09-18T05:06:10;2020-09-18T17:28:47;Gambia Function-based Product
7;2020-09-18T01:23:12;2020-09-18T14:29:48;scale
8;2020-09-18T15:08:22;2020-09-18T05:32:46;parsing transmit
9;2020-09-17T22:12:26;2020-09-18T00:35:08;infomediaries Unbranded Concrete Chips
10;2020-09-18T05:55:57;2020-09-17T22:24:25;Credit Card Account deposit protocol
